Epoch #,Start Time,End Time,Score #, Score
1,05/27/2021 11:00:06,05/27/2021 11:00:09,1,Wake
2,05/27/2021 11:00:09,05/27/2021 11:00:12,1,Wake
3,05/27/2021 11:00:12,05/27/2021 11:00:15,1,Wake
4,05/27/2021 11:00:15,05/27/2021 11:00:18,1,Wake
5,05/27/2021 11:00:18,05/27/2021 11:00:21,1,Wake
6,05/27/2021 11:00:21,05/27/2021 11:00:24,1,Wake
7,05/27/2021 11:00:24,05/27/2021 11:00:27,1,Wake
8,05/27/2021 11:00:27,05/27/2021 11:00:30,1,Wake
9,05/27/2021 11:00:30,05/27/2021 11:00:33,1,Wake
10,05/27/2021 11:00:33,05/27/2021 11:00:36,1,Wake
11,05/27/2021 11:00:36,05/27/2021 11:00:39,1,Wake
12,05/27/2021 11:00:39,05/27/2021 11:00:42,1,Wake
13,05/27/2021 11:00:42,05/27/2021 11:00:45,1,Wake
14,05/27/2021 11:00:45,05/27/2021 11:00:48,1,Wake
15,05/27/2021 11:00:48,05/27/2021 11:00:51,1,Wake
16,05/27/2021 11:00:51,05/27/2021 11:00:54,1,Wake
17,05/27/2021 11:00:54,05/27/2021 11:00:57,1,Wake
18,05/27/2021 11:00:57,05/27/2021 11:01:00,1,Wake
19,05/27/2021 11:01:00,05/27/2021 11:01:03,1,Wake
20,05/27/2021 11:01:03,05/27/2021 11:01:06,1,Wake
21,05/27/2021 11:01:06,05/27/2021 11:01:09,1,Wake
22,05/27/2021 11:01:09,05/27/2021 11:01:12,1,Wake
23,05/27/2021 11:01:12,05/27/2021 11:01:15,1,Wake
24,05/27/2021 11:01:15,05/27/2021 11:01:18,1,Wake
25,05/27/2021 11:01:18,05/27/2021 11:01:21,1,Wake
26,05/27/2021 11:01:21,05/27/2021 11:01:24,1,Wake
27,05/27/2021 11:01:24,05/27/2021 11:01:27,1,Wake
28,05/27/2021 11:01:27,05/27/2021 11:01:30,1,Wake
29,05/27/2021 11:01:30,05/27/2021 11:01:33,1,Wake
30,05/27/2021 11:01:33,05/27/2021 11:01:36,1,Wake
31,05/27/2021 11:01:36,05/27/2021 11:01:39,1,Wake
32,05/27/2021 11:01:39,05/27/2021 11:01:42,1,Wake
33,05/27/2021 11:01:42,05/27/2021 11:01:45,1,Wake
34,05/27/2021 11:01:45,05/27/2021 11:01:48,1,Wake
35,05/27/2021 11:01:48,05/27/2021 11:01:51,1,Wake
36,05/27/2021 11:01:51,05/27/2021 11:01:54,1,Wake
37,05/27/2021 11:01:54,05/27/2021 11:01:57,1,Wake
38,05/27/2021 11:01:57,05/27/2021 11:02:00,1,Wake
39,05/27/2021 11:02:00,05/27/2021 11:02:03,1,Wake
40,05/27/2021 11:02:03,05/27/2021 11:02:06,1,Wake
41,05/27/2021 11:02:06,05/27/2021 11:02:09,1,Wake
42,05/27/2021 11:02:09,05/27/2021 11:02:12,1,Wake
43,05/27/2021 11:02:12,05/27/2021 11:02:15,1,Wake
44,05/27/2021 11:02:15,05/27/2021 11:02:18,1,Wake
45,05/27/2021 11:02:18,05/27/2021 11:02:21,1,Wake
46,05/27/2021 11:02:21,05/27/2021 11:02:24,1,Wake
47,05/27/2021 11:02:24,05/27/2021 11:02:27,1,Wake
48,05/27/2021 11:02:27,05/27/2021 11:02:30,1,Wake
49,05/27/2021 11:02:30,05/27/2021 11:02:33,1,Wake
50,05/27/2021 11:02:33,05/27/2021 11:02:36,1,Wake
51,05/27/2021 11:02:36,05/27/2021 11:02:39,1,Wake
52,05/27/2021 11:02:39,05/27/2021 11:02:42,1,Wake
53,05/27/2021 11:02:42,05/27/2021 11:02:45,1,Wake
54,05/27/2021 11:02:45,05/27/2021 11:02:48,1,Wake
55,05/27/2021 11:02:48,05/27/2021 11:02:51,1,Wake
56,05/27/2021 11:02:51,05/27/2021 11:02:54,1,Wake
57,05/27/2021 11:02:54,05/27/2021 11:02:57,1,Wake
58,05/27/2021 11:02:57,05/27/2021 11:03:00,1,Wake
59,05/27/2021 11:03:00,05/27/2021 11:03:03,1,Wake
60,05/27/2021 11:03:03,05/27/2021 11:03:06,1,Wake
61,05/27/2021 11:03:06,05/27/2021 11:03:09,1,Wake
62,05/27/2021 11:03:09,05/27/2021 11:03:12,1,Wake
63,05/27/2021 11:03:12,05/27/2021 11:03:15,1,Wake
64,05/27/2021 11:03:15,05/27/2021 11:03:18,1,Wake
65,05/27/2021 11:03:18,05/27/2021 11:03:21,1,Wake
66,05/27/2021 11:03:21,05/27/2021 11:03:24,1,Wake
67,05/27/2021 11:03:24,05/27/2021 11:03:27,1,Wake
68,05/27/2021 11:03:27,05/27/2021 11:03:30,1,Wake
69,05/27/2021 11:03:30,05/27/2021 11:03:33,1,Wake
70,05/27/2021 11:03:33,05/27/2021 11:03:36,1,Wake
71,05/27/2021 11:03:36,05/27/2021 11:03:39,1,Wake
72,05/27/2021 11:03:39,05/27/2021 11:03:42,1,Wake
73,05/27/2021 11:03:42,05/27/2021 11:03:45,1,Wake
74,05/27/2021 11:03:45,05/27/2021 11:03:48,1,Wake
75,05/27/2021 11:03:48,05/27/2021 11:03:51,1,Wake
76,05/27/2021 11:03:51,05/27/2021 11:03:54,1,Wake
77,05/27/2021 11:03:54,05/27/2021 11:03:57,1,Wake
78,05/27/2021 11:03:57,05/27/2021 11:04:00,1,Wake
79,05/27/2021 11:04:00,05/27/2021 11:04:03,1,Wake
80,05/27/2021 11:04:03,05/27/2021 11:04:06,1,Wake
