Epoch #,Start Time,End Time,Score #, Score
92,06/08/2021 10:58:31,06/08/2021 10:58:34,2,Non REM
93,06/08/2021 10:58:34,06/08/2021 10:58:37,2,Non REM
94,06/08/2021 10:58:37,06/08/2021 10:58:40,2,Non REM
95,06/08/2021 10:58:40,06/08/2021 10:58:43,2,Non REM
96,06/08/2021 10:58:43,06/08/2021 10:58:46,2,Non REM
97,06/08/2021 10:58:46,06/08/2021 10:58:49,2,Non REM
98,06/08/2021 10:58:49,06/08/2021 10:58:52,2,Non REM
99,06/08/2021 10:58:52,06/08/2021 10:58:55,2,Non REM
100,06/08/2021 10:58:55,06/08/2021 10:58:58,2,Non REM
101,06/08/2021 10:58:58,06/08/2021 10:59:01,2,Non REM
102,06/08/2021 10:59:01,06/08/2021 10:59:04,1,Wake
103,06/08/2021 10:59:04,06/08/2021 10:59:07,2,Non REM
104,06/08/2021 10:59:07,06/08/2021 10:59:10,2,Non REM
105,06/08/2021 10:59:10,06/08/2021 10:59:13,2,Non REM
106,06/08/2021 10:59:13,06/08/2021 10:59:16,2,Non REM
107,06/08/2021 10:59:16,06/08/2021 10:59:19,2,Non REM
108,06/08/2021 10:59:19,06/08/2021 10:59:22,2,Non REM
109,06/08/2021 10:59:22,06/08/2021 10:59:25,2,Non REM
110,06/08/2021 10:59:25,06/08/2021 10:59:28,2,Non REM
111,06/08/2021 10:59:28,06/08/2021 10:59:31,2,Non REM
112,06/08/2021 10:59:31,06/08/2021 10:59:34,2,Non REM
113,06/08/2021 10:59:34,06/08/2021 10:59:37,2,Non REM
114,06/08/2021 10:59:37,06/08/2021 10:59:40,2,Non REM
115,06/08/2021 10:59:40,06/08/2021 10:59:43,2,Non REM
116,06/08/2021 10:59:43,06/08/2021 10:59:46,2,Non REM
117,06/08/2021 10:59:46,06/08/2021 10:59:49,2,Non REM
118,06/08/2021 10:59:49,06/08/2021 10:59:52,2,Non REM
119,06/08/2021 10:59:52,06/08/2021 10:59:55,2,Non REM
120,06/08/2021 10:59:55,06/08/2021 10:59:58,2,Non REM
121,06/08/2021 10:59:58,06/08/2021 11:00:01,2,Non REM
122,06/08/2021 11:00:01,06/08/2021 11:00:04,2,Non REM
123,06/08/2021 11:00:04,06/08/2021 11:00:07,2,Non REM
124,06/08/2021 11:00:07,06/08/2021 11:00:10,2,Non REM
125,06/08/2021 11:00:10,06/08/2021 11:00:13,2,Non REM
126,06/08/2021 11:00:13,06/08/2021 11:00:16,2,Non REM
127,06/08/2021 11:00:16,06/08/2021 11:00:19,2,Non REM
128,06/08/2021 11:00:19,06/08/2021 11:00:22,2,Non REM
129,06/08/2021 11:00:22,06/08/2021 11:00:25,2,Non REM
130,06/08/2021 11:00:25,06/08/2021 11:00:28,2,Non REM
131,06/08/2021 11:00:28,06/08/2021 11:00:31,2,Non REM
132,06/08/2021 11:00:31,06/08/2021 11:00:34,2,Non REM
133,06/08/2021 11:00:34,06/08/2021 11:00:37,2,Non REM
134,06/08/2021 11:00:37,06/08/2021 11:00:40,2,Non REM
135,06/08/2021 11:00:40,06/08/2021 11:00:43,2,Non REM
136,06/08/2021 11:00:43,06/08/2021 11:00:46,2,Non REM
137,06/08/2021 11:00:46,06/08/2021 11:00:49,2,Non REM
138,06/08/2021 11:00:49,06/08/2021 11:00:52,2,Non REM
139,06/08/2021 11:00:52,06/08/2021 11:00:55,1,Wake
140,06/08/2021 11:00:55,06/08/2021 11:00:58,1,Wake
141,06/08/2021 11:00:58,06/08/2021 11:01:01,1,Wake
142,06/08/2021 11:01:01,06/08/2021 11:01:04,1,Wake
143,06/08/2021 11:01:04,06/08/2021 11:01:07,1,Wake
144,06/08/2021 11:01:07,06/08/2021 11:01:10,1,Wake
145,06/08/2021 11:01:10,06/08/2021 11:01:13,1,Wake
146,06/08/2021 11:01:13,06/08/2021 11:01:16,2,Non REM
147,06/08/2021 11:01:16,06/08/2021 11:01:19,2,Non REM
148,06/08/2021 11:01:19,06/08/2021 11:01:22,2,Non REM
149,06/08/2021 11:01:22,06/08/2021 11:01:25,2,Non REM
150,06/08/2021 11:01:25,06/08/2021 11:01:28,2,Non REM
151,06/08/2021 11:01:28,06/08/2021 11:01:31,2,Non REM
152,06/08/2021 11:01:31,06/08/2021 11:01:34,2,Non REM
153,06/08/2021 11:01:34,06/08/2021 11:01:37,2,Non REM
154,06/08/2021 11:01:37,06/08/2021 11:01:40,2,Non REM
155,06/08/2021 11:01:40,06/08/2021 11:01:43,2,Non REM
156,06/08/2021 11:01:43,06/08/2021 11:01:46,2,Non REM
157,06/08/2021 11:01:46,06/08/2021 11:01:49,2,Non REM
158,06/08/2021 11:01:49,06/08/2021 11:01:52,2,Non REM
159,06/08/2021 11:01:52,06/08/2021 11:01:55,2,Non REM
160,06/08/2021 11:01:55,06/08/2021 11:01:58,2,Non REM
161,06/08/2021 11:01:58,06/08/2021 11:02:01,2,Non REM
162,06/08/2021 11:02:01,06/08/2021 11:02:04,2,Non REM
163,06/08/2021 11:02:04,06/08/2021 11:02:07,2,Non REM
164,06/08/2021 11:02:07,06/08/2021 11:02:10,2,Non REM
165,06/08/2021 11:02:10,06/08/2021 11:02:13,2,Non REM
